job_url,job_title,company_name,job_sector,job_function,education_level,experience_level,published_from,published_to,contract_type
/fr/offre-emploi-charge-de-portefeuille-recrutement-fondation-arrawaj-rabat-178934.html,Chargé de portefeuille | Rabat (Maroc),Fondation Arrawaj,,,,,16/01/2026,16/03/2026,
/fr/offre-emploi-mechanical-design-engineer-recrutement-capgemini-engineering-casablanca-178419.html,Mechanical Design Engineer | Casablanca (Maroc),Capgemini Engineering,Automobile / Motos / Cycles,Gestion projet / Etudes / R&D,Bac +5 et plus,Intermédiaire (3 à 5 ans),16/01/2026,01/03/2026,CDI
/fr/offre-emploi-ingenieur-rd-en-engrenages-recrutement-capgemini-engineering-casablanca-177908.html,Ingénieur R&D en Engrenages | Casablanca (Maroc),Capgemini Engineering,Automobile / Motos / Cycles,Gestion projet / Etudes / R&D,Bac +5 et plus,Intermédiaire (3 à 5 ans),16/01/2026,12/02/2026,CDI
/fr/offre-emploi-ingenieur-conception-mecanique-recrutement-capgemini-engineering-casablanca-177115.html,Ingénieur Conception Mécanique | Casablanca (Maroc),Capgemini Engineering,Automobile / Motos / Cycles,Gestion projet / Etudes / R&D,Bac +5 et plus,Débutant (-1 an),16/01/2026,17/01/2026,Autre
/fr/offre-emploi-charge-de-portefeuille-recrutement-fondation-arrawaj-laayoune-178932.html,Chargé de portefeuille | Laâyoune (Maroc),Fondation Arrawaj,Banque / Finance,Banque (métiers de la),Bac +3,Débutant (-1 an),16/01/2026,16/03/2026,CDI
/fr/offre-emploi-charge-de-portefeuille-recrutement-fondation-arrawaj-dakhla-178931.html,Chargé de portefeuille | Dakhla (Maroc),Fondation Arrawaj,Banque / Finance,Commercial / Vente / Export,Bac +3,Débutant (-1 an),16/01/2026,16/03/2026,CDI
/fr/offre-emploi-ing-support-niveau-3-de-la-chaine-dactivation-ftth-grand-public-hf-junior-recrutement-btechnologie-rabat-178930.html,Ing support niveau 3 de la  chaine d’activation FTTH  Grand Public (H/F) Junior | Rabat (Maroc),BTechnologie,Telecom,Télécom / Réseaux,Bac +5 et plus,Débutant (-1 an),16/01/2026,16/03/2026,CDI
/fr/offre-emploi-gestionnaire-de-paie-recrutement-groupe-azura-agadir-174896.html,Gestionnaire de paie | Agadir (Maroc),Groupe AZURA,Agroalimentaire,Agriculture (métiers de l'),Bac +3,Junior (1 à 3 ans),16/01/2026,16/03/2026,CDI
/fr/offre-emploi-business-operations-officer-hf-recrutement-confidentiel-casablanca-178551.html,Business operations officer (H/F) | Casablanca (Maroc),,Internet / Multimédia,Marketing,Bac +5 et plus,Débutant (-1 an),16/01/2026,05/03/2026,CDI
/fr/offre-emploi-lead-business-analyst-h-f-recrutement-confidentiel-casablanca-177454.html,Lead Business Analyst (H/ F) | Casablanca (Maroc),,Informatique,Informatique / Electronique,Bac +5 et plus,Confirmé (5 à 10 ans),16/01/2026,27/01/2026,CDI
